Word,Clue
EDGARWINTER,"Rocker with the 1973 #1 hit ""Frankenstein"""
EXITRAMPAGE,"Result of someone yelling ""Fire!"" in a crowded theater?"
ENERGYDRINK,Athlete's booster
OVERTHEEDGE,Flipped out
WELLGROOMED,Neat in appearance
NEILDIAMOND,"""Song Sung Blue"" singer"
MESAARIZONA,Chicago Cubs spring training site
DEPOSITSLIP,Part of a stack at a bank
ROTISSERIES,Cookers for chickens and franks
SPINDOCTORS,Coaches who help you use your wrist in shots?
LOVEHANDLES,"""Nothing"" and ""aught""?"
BULLSESSION,"Impromptu, wide-ranging conversation"
ETHELWATERS,"The second African-American, after Hattie McDaniel, to be nominated for an Oscar"
READYTOWEAR,Off the rack
THUNDERROAD,"Where ""we can make it if we run,"" per Bruce Springsteen (1975)"
BAKERSTREET,"Where ""you'll drink the night away and forget about everything,"" per Gerry Rafferty (1978)"
RECONNOITER,Survey militarily
ROASTMASTER,One getting laughs at others' expense
METROSEXUAL,GQ sort of guy
THISINSTANT,Now
SPEEDOMETER,Dash component
NOTALLTHERE,A few bricks short of a load
POLTERGEIST,Rapper?
THREEFORONE,"A really good offer, say"
PETEROTOOLE,Po boy?
HEARTOFGOLD,"Generous spirit, metaphorically"
NIAVARDALOS,"""My Big Fat Greek Wedding"" writer and star"
GRAVENIMAGE,Carved idol
THATTEARSIT,"""I can't take anymore!"""
HALFANDHALF,Java application?
ANIDIFRANCO,Singer who founded Righteous Babe Records
CHOREOGRAPH,Arrange
JIMIHENDRIX,Musician born 11/27/42
XCHROMOSOME,Almost every man in the world has one
GENERATIONX,Followers of a boom?
WITCHESBREW,"""Macbeth"" recipe"
RAINALCOHOL,What a tosspot fantasizes the clouds would do?
FROFFTONICE,Sports team management group
BEAUBRIDGES,"Actor in ""The Fabulous Baker Boys"""
KATIECOURIC,"Only person to guest-host ""The Tonight Show With Jay Leno"""
YURIGAGARIN,First human in space
MOULINROUGE,Paris cabaret
TOUCHSCREEN,"""You've gotta get your hands on this"" (Knoxville, 1982)"
IGNISFATUUS,Will-o'-the-wisp
STIFLEAYAWN,"Attempt to appear alert, say"
RATATOUILLE,2007
FINDINGNEMO,2003
PERSIANCATS,Some longhairs
CLAIREDANES,"Co-star of Showtime's ""Homeland"""
VENUSDEMILO,A classic beauty who is not all there
CUPIDSARROW,WARNING: Possible heart-related side effects
GORDIANKNOT,WARNING: Cutting tool required
STRESSTESTS,What big banks underwent in 2009
COMETOTERMS,Reach an agreement
STEAMENGINE,Industrial Revolution-era power source
SWISSCHEESE,Monte Cristo ingredient
GAMEOFCHESS,Pastime for Napoleon and Fidel Castro
BUNDLEOFJOY,Woman's package?
HOTPASTRAMI,Stage Deli staple
ISAACASIMOV,Writer who held 14 honorary doctorates
ETHELMERMAN,"1951 Tony winner for ""Call Me Madam"""
MAGICSQUARE,Ancient talisman with mathematical properties
SQUEEZEPLAY,Bunting is part of it
COMPACTDISC,Data storage device
JAMSESSIONS,Occasions to try out riffs
BEARDEDLADY,Hirsute carnival attraction
HIDEANDSEEK,Children's game hinted at by the circled letters
SEAANEMONES,Symbiotic partners of clownfish
TONIBRAXTON,"Multiple Grammy winner who was a contestant on ""Dancing With the Stars"""
WOUNDEDKNEE,South Dakota memorial site
CATCHINALIE,"Trip up, perhaps"
FIRSTAIDKIT,Place for iodine
FOOTINMOUTH,Embarrassingly imprudent
STATESENATE,"One of Washington's houses, e.g."
OVERTHEHILL,"Elderly, so to speak"
SELFRELIANT,Not needing anyone's help
SPEARHEADED,"Initiated, as an undertaking"
NUTCRACKERS,Christmastime productions
TRIALBLAZER,Courtroom jacket?
FLABBERGAST,Bowl over
STATESWOMEN,Leading ladies?
ILTROVATORE,"Opera whose second act is called ""The Gypsy"""
ACTSONESAGE,Stops being infantile
BRAINTEASER,Riddle
TURNONADIME,Change quickly
VACLAVHAVEL,Playwright who became a president
ENTERTAINED,Put on a show
PITCHINGWOO,In romantic pursuit
BAKERSFIELD,California State University campus site
RUBBERNECKS,Causes of some traffic slowdowns
HOUSEKEEPER,Help
MILLEBORNES,Popular card game since 1954
DOWNTOEARTH,Having no illusions or pretensions
ONEMORETIME,Again
UNEMOTIONAL,Stoic
SEVENTYNINE,Elvis's and Mariah's record number of weeks at Billboard's #1
HONEYIMHOME,Stereotypical sitcom greeting
KITTYLITTER,Pet store purchase
RUNNINGMATE,Presidential candidate's #2
CRACKERJACK,"Excellent, slangily"
WHENPIGSFLY,Never
IDAHOPOTATO,"Russet Burbank, e.g."
ORALHISTORY,Researcher's audiotapes and such
SPACEOPERAS,"""Star Wars"" and ""Battlestar Galactica"""
SHIPBISCUIT,Another name for hardtack
SMALLMINDED,Selfish
GAVENOPEACE,Plagued
MUDSLINGING,Activity for a hyperactive barista?
LILYLIVERED,Cowardly
FREEZEFRAME,"""Stop right where you are, picture holder!"""
MAIDOFHONOR,Bride's attendant
RABBITSFOOT,Common key chain adornment
PEGOMYHEART,Classic song about an Irish lass that was a #1 hit in 1913 and 1947
GARDENSPADE,Tool for turning up soil
MADAMIMADAM,Classic introduction
PRAYFORRAIN,Devoutly wish a drought to end
BREADBASKET,Main food-supplying region of a country
WOLFBLITZER,Emmy-winning U.S. journalist born in Germany
MRSROBINSON,"""Here's to you"" recipient"
TAICHICHUAN,Dojo discipline
UPONESALLEY,Suited to a person's strengths
TWISTOFFATE,Unexpected development ... or what the answer to each starred clue contains?
SLOWNEWSDAY,When there's nothing doing
MISSISSIPPI,United States divider
HIGHASAKITE,Wasted
LATEARRIVAL,"One who was detained, maybe"
MRSMALAPROP,"""She's as headstrong as an allegory on the banks of Nile"" speaker"
MASSTRANSIT,Commuter trains in Boston?
BRASSMONKEY,"Rum, vodka and orange juice drink"
MARTINSHORT,"""S.N.L."" alum who co-starred in ""Three Amigos!"""
SCREWDRIVER,Tool belt tool
LIBERALARTS,They're not technical
FLATSTOMACH,Result of good middle management?
GREATPLAINS,"It's known as ""the Prairies"" in Canada"
MANBITESDOG,Proverbially newsworthy item
NETEARNINGS,Profits
POSTNOBILLS,Sign on a construction site fence
REVERSESIDE,Back
MENTALIMAGE,Picture in one's head
OCEANBOTTOM,Seabed
OUTERPLANET,"Saturn, for one"
SEIZETHEDAY,"""Carpe diem"""
ROCOCOSTYLE,What Chippendale furniture was made in
BLOCKBUSTER,Smash hit
STATEPOLICE,Highway troopers
SWITCHBLADE,"""West Side Story"" fight scene prop"
CHOPINSPREE,Romantic overindulgence in nocturnes and mazurkas?
HAYDNGOSEEK,Part of a children's game with the Father of the Symphony?
ELSIETHECOW,Company mascot introduced in the 1930s that has never been put out to pasture
OCCAMSRAZOR,Cutting edge of science?
GROUCHOMARX,"He said ""I was married by a judge. I should have asked for a jury"""
BROKENHEART,"Lover's woe ... or something found, literally, in the 4th, 5th, 8th and 11th rows of this puzzle"
ABBREVIATED,Short-term?
BIZETSIGNAL,Command to a French composer at an intersection?
SNOWLEOPARD,Asian cat
DUPLICATORS,"Mimeographs, e.g."
CHAIRPERSON,Presider at a meeting
CIRCULARSAW,Woodworking tool created by Tabitha Babbitt (1784-1853)
CAINANDABEL,Genesis duo
ROLLINGINIT,*The aisles
TOWNANDGOWN,"Campus/off-campus community, collectively"
RAISEASTINK,Complain loudly
JUSTTHESAME,Despite everything
XAVIERCUGAT,Entertainer who was the first man to be married at Caesars Palace
INTHEPOCKET,"""Now he remembers setting $10 aside for pizza - he searches his jacket and finds it ___"""
QUARTERBACK,"""The pizza is $9.75 ... he hands the $10 off to the boy and waits for the ___"""
STEMTHETIDE,Slow an increase
WATERLILIES,Pad producers
IRISMURDOCH,"Author of ""The Sea, the Sea"""
COCKANDBULL,"One word that precedes ""pit,"" one that follows it"
CRIMSONTIDE,Tigers' rival in the Southeastern Conference
FALCONCREST,1980s soap opera set at a winery
DUALEXHAUST,Feature of many muscle cars
READINGROOM,Library area
RAMPUPSALES,Increase business
HAMMERTHROW,Olympic track-and-field event
CHEESECLOTH,Loosely woven cotton fabric
DIAMONDHEAD,Hawaiian landmark
DIAMONDRING,Union symbol?
VALLEYFORGE,Washington locale
NATALIEWOOD,"""Rebel Without a Cause"" actress"
SISSYSPACEK,"Player of one of the women in Robert Altman's ""3 Women"""
HOTCROSSBUN,Lenten treat
AUTOREVERSE,Tape deck convenience
PENNSTATION,"Its clock was featured in the 1945 film ""The Clock"""
RANDOMORDER,Shuffling goal
DAMNYANKEES,Modern retelling of the Faust legend
JOHNQPUBLIC,American everyman
GREENWITHNV,Jealous
NIGHTINGALE,*Nocturnal songster
ALBUQUERQUE,"Home of the annual Gathering of Nations powwow, the world's largest celebration of Native American culture"
JACKDEMPSEY,First athlete to appear on the cover of Time magazine
ORANGECRUSH,Popular Fanta-like soda
GHOSTWRITER,Many an autobiographer's need
ORANGERINDS,Juicer remnants
NOWANDAGAIN,*At times
BROWNBAGGER,"*One not using the company cafeteria, maybe"
DYLANTHOMAS,"""I've had 18 straight whiskies. I think that's the record"""
RANTANDRAVE,Carry on
PEARLYGATES,Setting of many New Yorker cartoons
PAPERPUSHER,*Routine-bound bureaucrat
SOPHIALOREN,"""Arabesque"" actress, 1966"
ATANIMPASSE,Stuck
YOURESOVAIN,1972 Carly Simon hit
MARKMYWORDS,"""Just you wait!"""
PARTNERSHIP,Yacht in a time-share?
RUNNINGBEAR,"""Young Indian brave"" in a 1960 Johnny Preston #1 hit"
INTHESPRING,"Poem, part 2"
ISWHOLESOME,"Poem, part 3"
TRYTRYAGAIN,"""Keep going!"""
NEVERSAYDIE,"""Keep going!"""
PINKPANTHER,"Inspector Clouseau movie, with ""The"""
INCOHERENCE,Babble
ALUMINUMCAN,Recyclable
NOWHEARTHIS,"Captain's ""Listen up!"""
TAKEYOURPIC,Command to a photog?
NEUTRALZONE,*Where everyone wears beige?
MIDNIGHTSUN,Seasonal Arctic phenomenon
OFTHEEISING,Musical that inspired Redding?
NECKANDNECK,How Goldin and her rivals finish in photography competitions?
RADIOSOURCE,"Pulsar, e.g."
EARPIERCING,Shrill
PEACOCKBLUE,Shade close to azure
IMLISTENING,"""Go ahead with your proposal"""
LIBERTYPOLE,Symbol of dissent against British rule
BALLOTBOXES,Sights at polling places
CLASSACTION,Certain lawsuit
TALKISCHEAP,Words to a blowhard
BANGORMAINE,City on the Penobscot River
QUEENMOTHER,Beloved figure in England
GASSTATIONS,Shell locations
FELLTOEARTH,"David Bowie: ""The Man Who ___"" (1976)"
MUMSTHEWORD,"""Shhhh!"""
TOOTHENAMEL,Canine coat
ZSAZSAGABOR,"She opined ""Macho does not prove mucho"""
DINNERDATES,"Restaurant parties, often"
NOTEPASSERS,Clandestine classroom communicators
PICTURESHOW,Cinema offering
LIFTAFINGER,Do anything to help
REDSKELETON,Boiled lobster's feature?
ONEMANBANDS,Versatile performers
NEWSPAPERAD,Pitch between columns
ROUGEETNOIR,Solitaire card game
MISSINGLYNX,Lost bobcat?
BUMPERCROPS,Good farming results
MARKETSHARE,Measure of a company's dominance
QUICKSILVER,Mercury
HAIRTRIGGER,"Easily set off, as a temper"
TALENTSCOUT,Discoverer of stars?
MISTERMAGOO,*Myopic cartoon fellow
THIRDDEGREE,Grilling
EMPTYHANDED,Bearing nothing
SPLASHGUARD,Big flap on the road?
EDGARBERGEN,"Dedicatee of ""The Muppet Movie"""
THERMOMETER,Turkey insert
ROADWARRIOR,Frequent business traveler
STALACTITES,They hang from the roof
DISHEARTENS,Depresses
CATANDMOUSE,Something to play
TEACHERSPET,Target of a school bully
TENNISSHOES,Some court attire
BAKERSDOZEN,13
ASIANFUSION,Cuisine that may be served with a chork
BOBBYKNIGHT,Hoops coach with the most N.C.A.A. Division I wins
ONTHEDOCKET,Scheduled
PARENTHESES,90
CALFMUSCLES,They're exercised when cycling
HATCHETFACE,*Forbidding countenance
HARDHEARTED,*Lacking compassion
ANTIOXIDANT,"Beneficial substance in fruits, vegetables and tea"
RAINYSEASON,Bad time for a tropical vacation
GIVEMEABUZZ,"""Call when you get the chance"""
SHAGCARPETS,You can sink your feet into them
CAKESANDALE,"1930 novel that takes its title from Shakespeare's ""Twelfth Night"""
FIRSTSTRIKE,Attack before being attacked
SALLYSFIELD,Game location for an actress?
STREETLAMPS,"Lights on posts, perhaps"
DOMOARIGATO,"Japanese ""thank you very much"""
HALLUCINATE,Sense the unreal
THIRDESTATE,Commoners
WHOSONFIRST,Classic Abbott and Costello bit
INNERCIRCLE,Influential group
MRBOJANGLES,"1971 hit with the lyric ""He danced for those at minstrel shows"""
PLAYSAROUND,Clowns
BELLBOTTOMS,Some 1960s-'70s attire
ITALIASHIRE,"""A County in la Nazione: Autobiography of a 'Godfather' Star"""
IRONDARLING,"""Unyielding Sweetheart: Autobiography of a Big-League Pitcher"""
CLAUDERAINS,"Captain Renault player in ""Casablanca"""
TYRONEPOWER,"*Ava Gardner's co-star in ""The Sun Also Rises"""
HOLDTHEMAYO,*Deli request
HONEYSUCKLE,Woodbine or twinberry
ELECTRICEYE,Sensor
WATERCOOLER,Dispenser of gossip?
PETERRABBIT,Intruder in Mr. McGregor's garden
MOTHERGOOSE,Some bedtime reading
ALBERTVILLE,Where women's biathlon was introduced as a medal event
BROADWAYJOE,Nickname for Namath
HELLSANGELS,Group that shares its name with a 1930 Howard Hughes film
SPOTWELDERS,Torch carriers
GUESSTIMATE,Seat-of-the-pants figure
WARMWELCOME,"Greeting with a hug and a kiss, say"
SHEASTADIUM,Queens place
NONONANETTE,"1920's musical with the sequel ""Yes, Yes, Yvette"""
SLAMDANCERS,Concertgoers getting into the hits?
LIBERTYBELL,Historic symbol whose shape can be found hidden in this completed puzzle
PANICBUTTON,Emergency response initiator
JOHNKENNEDY,Speaker of the quote
PHILDONAHUE,Ph.D. in Communications?
BATTLECREEK,"Michigan city of 50,000 that's home to a Fortune 500 company"
THEANSWERIS,"""Jeopardy!"" phrase"
GREENPEPPER,1/2 cup
TAPEMEASURE,Rule that can be bent
PANTSPOCKET,Lint collector?
POODLESKIRT,"""Neato"" 50's fashion"
CAMOMILETEA,Twinings offering
THEKINGANDI,"Musical with the song ""Shall We Dance?"""
IOOOISLANDS,Resort area on the U.S./Canada border
CABCALLOWAY,Renowned bandleader at the Cotton Club
ARABCOUNTRY,Jordan or Iraq
FOREORDAINS,Fates
CUTTHECARDS,The hair stylist tried to
ORANGEJUICE,Breakfast beverage
TOASTEROVEN,Handy kitchen cooker
RITEOFWEIGH,Prefight ceremony?
TURNTHETIDE,Change defeat into victory
PAPERTRAILS,White-collar crime investigators follow them
LOOPTHELOOP,Airshow staple
HISHOLINESS,Pope's title
BILLIONAIRE,Forbes 400 listee
CLEARHEADED,Sober
FREEANDEASY,Happy-go-lucky
SEALTHEDEAL,Conclude negotiations
FILLTHEBILL,Be just what's needed
LUCYLAWLESS,"Actress in ""Hercules and the Amazon Women"""
MUTTONCHOPS,Comic strip character's book about butchers' cuts?
STEPHENKING,"""I am the literary equivalent of a Big Mac and fries"""
SWEENEYTODD,1979 musical about a half-mad barber
LEAPOFFAITH,Acceptance sans proof
BRONZEMEDAL,Award for showing
CARMECHANIC,One who may adjust a belt
RADICALCHIC,Tom Wolfe catchphrase popularized in the 1970's
BARNEYFRANK,Longtime Massachusetts congressman
LABOROFLOVE,Usually low-paying work
ELLERYQUEEN,Pseudonym in detective fiction
SLEEPINGBAG,Camp sight
MAKESASCENE,"Gets noticed, as an actor?"
MISSAMERICA,Tiara wearer
ORAPRONOBIS,Ave Maria phrase
SAVEMEASEAT,Tardy attendee's request
SEASCALLOPS,"The ""surf"" in some surf 'n' turf dinners"
CLANDESTINE,Under the table
SHAKESPEARE,The Bard
HAIRRAISING,Very scary
ELBOWGREASE,Hard work
CHARLIECHAN,Laughing fictional detective?
SETSTHEPACE,Has an early lead
NEWBORNBABY,Maternity ward arrival
CATCHAFEWZS,Be out briefly?
TOUTDESUITE,"""Pronto!"""
SLEEPINGCAR,Option for some long trips
KIERKEGAARD,Danish theologian (speller's nightmare #1)
STAGEFRIGHT,It may interfere with delivery
INCIDENTALS,Minor expenses
SHOELESSJOE,Jackson moniker
POORRICHARD,"""Eat to live, not live to eat"" penner"
ELDERHOSTEL,Organizer of senior field trips
COUNTRYCLUB,Golf locale
MURPHYBROWN,Candice Bergen role
MAUVEDECADE,The 1890's
COLDCOMFORT,Scarce consolation
YESWEREOPEN,Store sign
COWBOYBOOTS,Ranch wear
DIVININGROD,Water locator
KNUCKLEDOWN,Get serious
SHENANIGANS,Monkey business
UPTOSCRATCH,Meeting all requirements
CHIPPEDBEEF,Mistreated meat?
DAMONRUNYON,Sky Masterson's creator
TRUSTBUSTER,Rely on comic Keaton?
SCENICDRIVE,"Coastal highway, say"
TURKEYSHOOT,Marksmanship contest
EARFORMUSIC,Arranger's asset
LAMEEXCUSES,They're not to be believed
POPLARTREES,Cottonwoods
CUCKOOCLOCK,Aviary timekeeper?
CAULIFLOWER,Member of the mustard family
SPRUCEGOOSE,Attraction at the Evergreen Aviation Museum
SEEEYETOEYE,Concur
ESTATETAXES,Survivors' concerns
LABORLEADER,"Lane Kirkland of the AFL-CIO, e.g."
ALLAMERICAN,Elite athlete
NEPLUSULTRA,Very best
CRAZYEIGHTS,Kids' card game
MACHIAVELLI,Cunning and deceptive one
THEREYOUARE,Exclamation after completing an explanation
PARTYPOOPER,Wet blanket
SETTHESTAGE,Prepare
BITTERSWEET,Like some memories
OUTOFAFRICA,Oscar-winning Meryl Streep film
GIVEITAREST,Turndown #8
CLIFFHANGER,"""Dallas,"" e.g., famously"
ROBERTFROST,Much-quoted poet
CHEESEHEADS,Green Bay Packers fans
HARRYPOTTER,Fictional wizard who studies at Hogwarts
PENNYLOAFER,"___, Shoe Salesman"
BOXERSHORTS,Alternative to briefs
AFGHANISTAN,"Part of Alexander the Great's conquest, today"
BUFFALOBILL,Ned Buntline gave him his nickname
EMERALDCITY,Wizard's home
AIRAPPARENT,Smog?
ASYOULIKEIT,Shakespearean play with the clown Touchstone
BACKBREAKER,Torturous task
OVERANDOVER,Repeatedly
YELLOWBELLY,Coward
CALLINGCARD,"""Hi. It's me. Mark McGwire."""
CROSSSTITCH,Bit of embroidery
TINYBUBBLES,Don Ho's theme song
EMMETTKELLY,Memorable Big Top star born 12/8/1898
GETTOGETHER,"Query, part 3"
NOSTRADAMUS,Forward-looking man?
WALTWHITMAN,"""Leaves of Grass"" poet"
CHICKENFEED,Trifling amount
LEONTROTSKY,Marxist exiled by Stalin
GUTTERSNIPE,Street urchin
COUPDEGRACE,Finishing touch
OVERBEARING,Domineering
PUSSYWILLOW,Dry bouquet item
FRENCHFRIES,"Chips, to Mr. Chips"
WOLFMANJACK,"Big name in radio, once"
CHATTANOOGA,"Grant vs. Bragg, Nov. 1863"
CHICKAMAUGA,"Rosecrans vs. Bragg, Sept. 1863"
EDWARDALBEE,Three-time Pulitzer-winning playwright
SANTAISABEL,"Capital of Equatorial Guinea, formerly"
TABLEHOPPER,Restaurant gadabout
TEENYBOPPER,Adolescent rock fan
MILTONBERLE,"""Texaco Star Theater"" host"
KINGSTEMPLE,Area near the crown
HEARTLESSLY,"""Get lost, Toto!"" shouted the Tin Man ___"
GREENBERETS,Army Vietnam group
FORGETMENOT,Alaska's state flower
COUNTERMAND,Rescind
FILTHYLUCRE,Ill-gotten gains
PREACHERROE,Brooklyn pitching legend
SKIPTOMYLOU,Old-time dancing song
SODACRACKER,Thin snack
IRISHSETTER,Hunting dog
OCEANLINERS,Queen Elizabeth and others
DAYAFTERDAY,Continually
TRENDSETTER,Stylish canine?
SECRETAGENT,Poser
MOTHEREARTH,Nature personified
PANAMACANAL,Opening of 1914
